latitude,longitude
41.1530947,-100.8697736
41.1530954,-100.8695648
41.1531029,-100.8692525
41.1531042,-100.8700537
41.1531204,-100.8703521
41.1531254,-100.8689919
41.1531353,-100.8707949
41.1531368,-100.8688985
41.1531818,-100.8685621
41.1532201,-100.8683455
41.1532841,-100.8680444
41.1533452,-100.8678132
41.1534573,-100.867443
41.1536153,-100.8670275
41.1540094,-100.866216
41.1536153,-100.8670275
41.1534573,-100.867443
41.1533452,-100.8678132
41.1532841,-100.8680444
41.1532201,-100.8683455
41.1531818,-100.8685621
41.1531368,-100.8688985
41.1531353,-100.8707949
41.1531254,-100.8689919
41.1531204,-100.8703521
41.1531042,-100.8700537
41.1531029,-100.8692525
41.1530954,-100.8695648
41.1530947,-100.8697736
