latitude,longitude
37.7989261,-122.2940568
37.7988227,-122.2946070
37.7985164,-122.2964433
37.7982224,-122.2982249
37.7980507,-122.2992884
37.7978738,-122.3003519
37.7977466,-122.3010439
37.7976227,-122.3015425
37.7975592,-122.3019249
37.7975337,-122.3020788
37.7975065,-122.3023020
37.7974930,-122.3024822
37.7974862,-122.3026797
37.7974930,-122.3028599
37.7975133,-122.3030659
37.7975540,-122.3032891
37.7976015,-122.3035122
37.7976625,-122.3037096
37.7977439,-122.3039156
37.7978321,-122.3041044
37.7979135,-122.3042675
37.7980152,-122.3044306
37.7981305,-122.3045851
37.7982797,-122.3047568
37.7984357,-122.3049113
37.7985646,-122.3050142
37.7986798,-122.3050915
37.7994937,-122.3056322
37.8005147,-122.3062955
37.8010037,-122.3066200
37.8014845,-122.3069392
37.8024271,-122.3075658
37.8034469,-122.3082400
37.8044913,-122.3089181
37.8045998,-122.3089867
37.8047354,-122.3090640
37.8048914,-122.3091412
37.8050270,-122.3092013
37.8051423,-122.3092442
37.8052644,-122.3092871
37.8053729,-122.3093215
37.8055017,-122.3093558
37.8056238,-122.3093815
37.8057730,-122.3094073
37.8059018,-122.3094159
37.8060171,-122.3094245
37.8061120,-122.3094245
37.8062612,-122.3094245
37.8064039,-122.3094207
37.8065522,-122.3094008
37.8066757,-122.3093787
37.8068613,-122.3093331
37.8070027,-122.3092902
37.8071993,-122.3092170
37.8073659,-122.3091484
37.8077153,-122.3090111
37.8079910,-122.3088901
37.8081244,-122.3088329
37.8082808,-122.3087712
37.8085468,-122.3086663
37.8086681,-122.3086119
37.8087600,-122.3085755
37.8090805,-122.3084484
37.8093132,-122.3083418
37.8094915,-122.3082410
37.8096685,-122.3081126
37.8097879,-122.3080037
37.8098720,-122.3079066
37.8099820,-122.3077668
37.8100822,-122.3076294
37.8102599,-122.3073929
37.8104885,-122.3070853
37.8106519,-122.3068654
37.8107686,-122.3067069
37.8108385,-122.3066171
37.8109962,-122.3064015
37.8110258,-122.3063610
37.8111121,-122.3062448
37.8113255,-122.3059621
37.8115826,-122.3056135
37.8132373,-122.3033933
37.8135345,-122.3029644
37.8137850,-122.3026617
37.8139973,-122.3024055
37.8142846,-122.3020683
37.8153799,-122.3007629
37.8164148,-122.2995256
37.8174462,-122.2982942
37.8179447,-122.2976934
37.8185118,-122.2970226
37.8188186,-122.2966557
37.8189260,-122.2965288
37.8193971,-122.2959642
37.8195553,-122.2957743
37.8197449,-122.2955334
37.8201392,-122.2950207
37.8203975,-122.2946798
37.8205106,-122.2945398
37.8206844,-122.2943550
37.8208903,-122.2941503
37.8211630,-122.2939041
37.8214285,-122.2936710
37.8216010,-122.2935264
37.8217919,-122.2933866
37.8219333,-122.2933167
37.8220560,-122.2932566
37.8229369,-122.2927796
37.8230782,-122.2926920
37.8232608,-122.2925924
37.8234167,-122.2925034
37.8235494,-122.2924293
37.8237402,-122.2923110
37.8240058,-122.2921887
37.8237402,-122.2923110
37.8235494,-122.2924293
37.8234167,-122.2925034
37.8232608,-122.2925924
37.8230782,-122.2926920
37.8229369,-122.2927796
37.8220560,-122.2932566
37.8219333,-122.2933167
37.8217919,-122.2933866
37.8216010,-122.2935264
37.8214285,-122.2936710
37.8211630,-122.2939041
37.8208903,-122.2941503
37.8206844,-122.2943550
37.8205106,-122.2945398
37.8203975,-122.2946798
37.8201392,-122.2950207
