latitude,longitude
37.7825897,-122.2386092
37.7824453,-122.2383867
37.7823406,-122.2382347
37.7821718,-122.2379897
37.7817945,-122.2374398
37.7813005,-122.2367291
37.7807663,-122.2359432
37.7795664,-122.2341917
37.7792145,-122.2336794
37.7787630,-122.2330303
37.7783263,-122.2323866
37.7779425,-122.2318287
37.7775949,-122.2313298
37.7773624,-122.2309878
37.7772879,-122.2308810
37.7759403,-122.2289201
37.7758521,-122.2287943
37.7757212,-122.2286092
37.7755431,-122.2283866
37.7753163,-122.2281291
37.7752145,-122.2280406
37.7751027,-122.2279804
37.7749792,-122.2279265
37.7746654,-122.2278415
37.7745147,-122.2278131
37.7743686,-122.2277965
37.7742350,-122.2278126
37.7740781,-122.2278609
37.7735567,-122.2280741
37.7734395,-122.2281220
37.7730306,-122.2283040
37.7728165,-122.2283909
37.7723015,-122.2286096
37.7721085,-122.2286905
37.7723015,-122.2286096
37.7728165,-122.2283909
37.7730306,-122.2283040
37.7734395,-122.2281220
37.7735567,-122.2280741
37.7740781,-122.2278609
37.7742350,-122.2278126
37.7743686,-122.2277965
37.7745147,-122.2278131
37.7746654,-122.2278415
37.7749792,-122.2279265
37.7751027,-122.2279804
37.7752145,-122.2280406
37.7753163,-122.2281291
37.7755431,-122.2283866
37.7757212,-122.2286092
37.7758521,-122.2287943
37.7759403,-122.2289201
37.7772879,-122.2308810
37.7773624,-122.2309878
37.7775949,-122.2313298
37.7779425,-122.2318287
37.7783263,-122.2323866
37.7787630,-122.2330303
37.7792145,-122.2336794
37.7795664,-122.2341917
37.7807663,-122.2359432
37.7813005,-122.2367291
37.7817945,-122.2374398
37.7821718,-122.2379897
37.7823406,-122.2382347
37.7824453,-122.2383867
37.7825897,-122.2386092
