latitude,longitude
41.1495843,-100.8092963
41.149649,-100.8093884
41.1497995,-100.8096406
41.1499241,-100.809844
41.1501671,-100.8101942
41.1509009,-100.8112069
41.1523384,-100.8132165
41.152516,-100.8134922
41.1526959,-100.8137974
41.152855,-100.8140961
41.1529788,-100.8143664
41.1530841,-100.8146068
41.1531915,-100.8148996
41.1532754,-100.8151623
41.1533658,-100.8154585
41.1533675,-100.8522563
41.1533844,-100.8520231
41.153388,-100.8516892
41.1533926,-100.8511296
41.1534267,-100.8469797
41.1534391,-100.8157135
41.1534486,-100.844309
41.1534582,-100.8431348
41.1535064,-100.81605
41.1535207,-100.8361821
41.1535288,-100.8355814
41.1535308,-100.8353144
41.1535431,-100.8349879
41.1535765,-100.8164945
41.1535777,-100.8345882
41.153647,-100.8170053
41.1538665,-100.8311712
41.154299,-100.8219281
41.1543309,-100.82567
41.1543371,-100.8222823
41.1543691,-100.8226489
41.1543792,-100.8250926
41.1543872,-100.8230334
41.1544033,-100.8246266
41.1544113,-100.8234501
41.1544133,-100.8242322
41.1544173,-100.8237841
41.1544133,-100.8242322
41.1544113,-100.8234501
41.1544033,-100.8246266
41.1543872,-100.8230334
41.1543792,-100.8250926
41.1543691,-100.8226489
41.1543371,-100.8222823
41.1543309,-100.82567
41.154299,-100.8219281
41.1538665,-100.8311712
41.153647,-100.8170053
41.1535777,-100.8345882
41.1535765,-100.8164945
41.1535431,-100.8349879
41.1535308,-100.8353144
41.1535288,-100.8355814
41.1535207,-100.8361821
41.1535064,-100.81605
41.1534582,-100.8431348
41.1534486,-100.844309
41.1534391,-100.8157135
41.1534267,-100.8469797
41.1533926,-100.8511296
41.153388,-100.8516892
41.1533844,-100.8520231
41.1533675,-100.8522563
41.1533658,-100.8154585
41.1532754,-100.8151623
41.1531915,-100.8148996
41.1530841,-100.8146068
41.1529788,-100.8143664
41.152855,-100.8140961
41.1526959,-100.8137974
41.152516,-100.8134922
41.1523384,-100.8132165
41.1509009,-100.8112069
41.1501671,-100.8101942
41.1499241,-100.809844
41.1497995,-100.8096406
41.149649,-100.8093884
41.1495843,-100.8092963
