latitude,longitude
32.7193077,-97.3859955
32.7194789,-97.3856704
32.7196208,-97.385422
32.7198362,-97.3851028
32.7203758,-97.3844269
32.7214638,-97.3830791
32.7216781,-97.3828046
32.7218571,-97.382555
32.7220465,-97.3822405
32.7222893,-97.3817909
32.7232058,-97.3799572
32.7238756,-97.3786216
32.7255678,-97.375254
32.7265483,-97.3732968
32.7273754,-97.3716531
32.7275865,-97.3711918
32.7277941,-97.3707224
32.7279814,-97.3702642
32.7282286,-97.3695907
32.7286626,-97.3682839
32.7287716,-97.3679103
32.7291288,-97.3664792
32.7292179,-97.3661493
32.7292822,-97.3659253
32.7293826,-97.3656102
32.7294785,-97.3653205
32.7295925,-97.3650348
32.7297602,-97.3646398
32.7295925,-97.3650348
32.7294785,-97.3653205
32.7293826,-97.3656102
32.7292822,-97.3659253
32.7292179,-97.3661493
32.7291288,-97.3664792
32.7287716,-97.3679103
32.7286626,-97.3682839
32.7282286,-97.3695907
32.7279814,-97.3702642
32.7277941,-97.3707224
32.7275865,-97.3711918
32.7273754,-97.3716531
32.7265483,-97.3732968
32.7255678,-97.375254
32.7238756,-97.3786216
32.7232058,-97.3799572
32.7222893,-97.3817909
32.7220465,-97.3822405
32.7218571,-97.382555
32.7216781,-97.3828046
32.7214638,-97.3830791
32.7203758,-97.3844269
32.7198362,-97.3851028
32.7196208,-97.385422
32.7194789,-97.3856704
32.7193077,-97.3859955
