yardId,railId,coordinates
oaklandYard,oakland,"37.8015156,-122.2730355,37.8044848,-122.2711866,37.8072649,-122.2694518,37.8091846,-122.2682568,37.8093935,-122.2681310,37.8096349,-122.2680062,37.8098474,-122.2679406,37.8100002,-122.2679165,37.8101773,-122.2679117,37.8103850,-122.2679375,37.8105791,-122.2679935,37.8107805,-122.2680872,37.8109816,-122.2682226,37.8111668,-122.2683938,37.8124437,-122.2698395,37.8126155,-122.2700142,37.8128000,-122.2701729,37.8130423,-122.2703475"
oaklandYard,oakland_6337352,"37.7721085,-122.2286905,37.7723015,-122.2286096,37.7728165,-122.2283909,37.7730306,-122.2283040,37.7734395,-122.2281220,37.7735567,-122.2280741,37.7740781,-122.2278609,37.7742350,-122.2278126,37.7743686,-122.2277965,37.7745147,-122.2278131,37.7746654,-122.2278415,37.7749792,-122.2279265,37.7751027,-122.2279804,37.7752145,-122.2280406,37.7753163,-122.2281291,37.7755431,-122.2283866,37.7757212,-122.2286092,37.7758521,-122.2287943,37.7759403,-122.2289201,37.7772879,-122.2308810,37.7773624,-122.2309878,37.7775949,-122.2313298,37.7779425,-122.2318287,37.7783263,-122.2323866,37.7787630,-122.2330303,37.7792145,-122.2336794,37.7795664,-122.2341917,37.7807663,-122.2359432,37.7813005,-122.2367291,37.7817945,-122.2374398,37.7821718,-122.2379897,37.7823406,-122.2382347,37.7824453,-122.2383867,37.7825897,-122.2386092"
oaklandYard,oakland_34528635,"37.7989261,-122.2940568,37.7988227,-122.2946070,37.7985164,-122.2964433,37.7982224,-122.2982249,37.7980507,-122.2992884,37.7978738,-122.3003519,37.7977466,-122.3010439,37.7976227,-122.3015425,37.7975592,-122.3019249,37.7975337,-122.3020788,37.7975065,-122.3023020,37.7974930,-122.3024822,37.7974862,-122.3026797,37.7974930,-122.3028599,37.7975133,-122.3030659,37.7975540,-122.3032891,37.7976015,-122.3035122,37.7976625,-122.3037096,37.7977439,-122.3039156,37.7978321,-122.3041044,37.7979135,-122.3042675,37.7980152,-122.3044306,37.7981305,-122.3045851,37.7982797,-122.3047568,37.7984357,-122.3049113,37.7985646,-122.3050142,37.7986798,-122.3050915,37.7994937,-122.3056322,37.8005147,-122.3062955,37.8010037,-122.3066200,37.8014845,-122.3069392,37.8024271,-122.3075658,37.8034469,-122.3082400,37.8044913,-122.3089181,37.8045998,-122.3089867,37.8047354,-122.3090640,37.8048914,-122.3091412,37.8050270,-122.3092013,37.8051423,-122.3092442,37.8052644,-122.3092871,37.8053729,-122.3093215,37.8055017,-122.3093558,37.8056238,-122.3093815,37.8057730,-122.3094073,37.8059018,-122.3094159,37.8060171,-122.3094245,37.8061120,-122.3094245,37.8062612,-122.3094245,37.8064039,-122.3094207,37.8065522,-122.3094008,37.8066757,-122.3093787,37.8068613,-122.3093331,37.8070027,-122.3092902,37.8071993,-122.3092170,37.8073659,-122.3091484,37.8077153,-122.3090111,37.8079910,-122.3088901,37.8081244,-122.3088329,37.8082808,-122.3087712,37.8085468,-122.3086663,37.8086681,-122.3086119,37.8087600,-122.3085755,37.8090805,-122.3084484,37.8093132,-122.3083418,37.8094915,-122.3082410,37.8096685,-122.3081126,37.8097879,-122.3080037,37.8098720,-122.3079066,37.8099820,-122.3077668,37.8100822,-122.3076294,37.8102599,-122.3073929,37.8104885,-122.3070853,37.8106519,-122.3068654,37.8107686,-122.3067069,37.8108385,-122.3066171,37.8109962,-122.3064015,37.8110258,-122.3063610,37.8111121,-122.3062448,37.8113255,-122.3059621,37.8115826,-122.3056135,37.8132373,-122.3033933,37.8135345,-122.3029644,37.8137850,-122.3026617,37.8139973,-122.3024055,37.8142846,-122.3020683,37.8153799,-122.3007629,37.8164148,-122.2995256,37.8174462,-122.2982942,37.8179447,-122.2976934,37.8185118,-122.2970226,37.8188186,-122.2966557,37.8189260,-122.2965288,37.8193971,-122.2959642,37.8195553,-122.2957743,37.8197449,-122.2955334,37.8201392,-122.2950207,37.8203975,-122.2946798,37.8205106,-122.2945398,37.8206844,-122.2943550,37.8208903,-122.2941503,37.8211630,-122.2939041,37.8214285,-122.2936710,37.8216010,-122.2935264,37.8217919,-122.2933866,37.8219333,-122.2933167,37.8220560,-122.2932566,37.8229369,-122.2927796,37.8230782,-122.2926920,37.8232608,-122.2925924,37.8234167,-122.2925034,37.8235494,-122.2924293,37.8237402,-122.2923110,37.8240058,-122.2921887"
oaklandYard,oakland_35675172,"37.8118122,-122.3052511,37.8119782,-122.3050109,37.8123703,-122.3044874,37.8134578,-122.3030138,37.8137839,-122.3025830,37.8142859,-122.3019895,37.8153664,-122.3006969,37.8161789,-122.2996943,37.8179257,-122.2976406,37.8195703,-122.2956781,37.8201924,-122.2948179,37.8204575,-122.2944647,37.8207494,-122.2941272,37.8209893,-122.2938837,37.8212895,-122.2936216,37.8216741,-122.2933266,37.8221088,-122.2930552,37.8224985,-122.2928109,37.8232741,-122.2924862,37.8233634,-122.2924398,37.8234946,-122.2923856,37.8236398,-122.2923288,37.8240058,-122.2921887,37.8240973,-122.2921368,37.8243187,-122.2920711,37.8250337,-122.2918683,37.8252396,-122.2918046,37.8254395,-122.2917625,37.8256895,-122.2917076,37.8261770,-122.2915943,37.8266185,-122.2915199,37.8267488,-122.2914876,37.8268441,-122.2914621,37.8270242,-122.2914139,37.8272123,-122.2913722"
oaklandYard,oakland_35675388,"37.8120625,-122.3048345,37.8122303,-122.3045888,37.8132518,-122.3032104,37.8136159,-122.3027220,37.8137803,-122.3025143,37.8142727,-122.3019294,37.8153435,-122.3006454,37.8164080,-122.2993805,37.8174505,-122.2981379,37.8179287,-122.2975628,37.8183783,-122.2970226,37.8186413,-122.2967074,37.8188603,-122.2964535,37.8191826,-122.2960618,37.8193771,-122.2958322,37.8195409,-122.2956228,37.8197025,-122.2954036,37.8200073,-122.2949785,37.8203384,-122.2945183,37.8205047,-122.2943004,37.8207166,-122.2940553,37.8208626,-122.2939029,37.8209965,-122.2937782,37.8212610,-122.2935524,37.8216823,-122.2932675,37.8219730,-122.2930856,37.8221597,-122.2929610,37.8224084,-122.2927912,37.8225982,-122.2926750,37.8227089,-122.2926095,37.8228646,-122.2925345,37.8229926,-122.2924862,37.8231264,-122.2924312,37.8233354,-122.2923719,37.8235576,-122.2923001,37.8239845,-122.2921155,37.8242129,-122.2920391,37.8248282,-122.2918524,37.8254310,-122.2916875,37.8256142,-122.2916445,37.8260528,-122.2915574,37.8264373,-122.2914716,37.8268335,-122.2914219,37.8272123,-122.2913722,37.8273049,-122.2913589,37.8276658,-122.2913090,37.8279553,-122.2912785,37.8281439,-122.2912644,37.8283520,-122.2912463"
oaklandYard,oakland_293624092,"37.7680098,-122.2162119,37.7680198,-122.2165166,37.7680298,-122.2166859,37.7680601,-122.2168171,37.7681067,-122.2169542,37.7685246,-122.2178570"
oaklandYard,oakland_610651498,"37.7979313,-122.3002452,37.7979093,-122.3004334,37.7978975,-122.3005951,37.7978382,-122.3013055,37.7978314,-122.3014257,37.7978253,-122.3015467,37.7978321,-122.3017098,37.7978389,-122.3018299,37.7978470,-122.3018951,37.7978592,-122.3019930,37.7978863,-122.3021733,37.7979270,-122.3023535,37.7979745,-122.3025166,37.7980355,-122.3026968,37.7981169,-122.3028942,37.7982119,-122.3030745,37.7983475,-122.3032976,37.7984899,-122.3034865,37.7985985,-122.3036152,37.7986731,-122.3036925,37.7987951,-122.3038040,37.7989172,-122.3038984,37.7996700,-122.3043963,37.8007385,-122.3051024,37.8014317,-122.3055553,37.8017896,-122.3057891,37.8026984,-122.3063899,37.8036571,-122.3070212,37.8047422,-122.3077508,37.8054610,-122.3082143,37.8062748,-122.3087550,37.8064240,-122.3088408,37.8065461,-122.3088923,37.8066681,-122.3089352,37.8068020,-122.3089724,37.8069066,-122.3090061,37.8070234,-122.3090274,37.8071283,-122.3090306,37.8072635,-122.3090346,37.8073453,-122.3090257,37.8074759,-122.3090152,37.8076435,-122.3089675,37.8078547,-122.3089016,37.8080633,-122.3088132,37.8085125,-122.3086198,37.8088685,-122.3084790,37.8090776,-122.3083840,37.8092634,-122.3082996,37.8093869,-122.3082355,37.8094859,-122.3081794,37.8095836,-122.3081167,37.8096885,-122.3080268,37.8098381,-122.3078683,37.8099657,-122.3077060,37.8102411,-122.3073348,37.8103614,-122.3071743,37.8105244,-122.3069612,37.8105943,-122.3068620,37.8112410,-122.3059926,37.8114274,-122.3057497"
oaklandYard,oakland_671694909,"37.8283520,-122.2912463,37.8284161,-122.2912235,37.8285368,-122.2912007,37.8288250,-122.2911403,37.8290518,-122.2911086"
baileyYard,14155716,"41.1436375,-100.7915721,41.1442351,-100.7975965,41.144991,-100.8051187,41.1457783,-100.8129906,41.1468912,-100.8242472,41.1468946,-100.8243042,41.1469074,-100.8245181,41.1469372,-100.8251275,41.1469619,-100.8257492,41.1469857,-100.8261575,41.147104,-100.82756,41.1472352,-100.8292253"
baileyYard,14155728,"41.1472352,-100.8292253,41.1472505,-100.8294844,41.1472877,-100.8299767,41.1473197,-100.8303212,41.1473278,-100.8304108,41.1473681,-100.8306338,41.1474216,-100.830834,41.1477763,-100.8320094,41.1478246,-100.8322843,41.1479574,-100.8332974"
baileyYard,14155749,"41.1479574,-100.8332974,41.1483416,-100.8453387,41.1483466,-100.8449161,41.1483593,-100.8445508,41.1483621,-100.8455352,41.1483881,-100.8441161,41.1484396,-100.8461629,41.148452,-100.8462632,41.1485215,-100.8467997,41.1486459,-100.8429734,41.148735,-100.8426058,41.1488176,-100.8422795,41.148912,-100.8418413,41.1489337,-100.8406704,41.1489504,-100.8416636,41.1489612,-100.8408785,41.1489787,-100.8410162,41.1489886,-100.84134,41.1489903,-100.8411528"
baileyYard,14155763,"41.154766,-100.8615472,41.1548808,-100.8590751"
baileyYard,14155766,"41.1452567,-100.8331346,41.1452609,-100.8330718,41.1452726,-100.8328945,41.1452757,-100.8334697,41.1452962,-100.8326562,41.145324,-100.8338925,41.1453336,-100.8324295,41.1453698,-100.8322648,41.1454309,-100.8320605,41.1455198,-100.8318486,41.1457232,-100.8314627,41.146004,-100.8308889,41.1460692,-100.8307489,41.1461298,-100.8305799,41.1462352,-100.8303165,41.1464327,-100.8422314,41.1465009,-100.8428006,41.1465413,-100.8431144"
baileyYard,14155770,"41.1486669,-100.8470631,41.1489029,-100.847065,41.1490691,-100.8470368,41.1492684,-100.8469867,41.1494742,-100.8469017,41.1496812,-100.8467803,41.149884,-100.8466024,41.1500267,-100.8464434,41.1501595,-100.8404223,41.1501646,-100.8406816,41.1501747,-100.8408828,41.1501901,-100.8462304,41.150205,-100.8411644,41.150339,-100.8459778,41.1504303,-100.8457621,41.1504651,-100.8456803,41.1505168,-100.8455604,41.1505827,-100.8452654,41.1506231,-100.8449891,41.1506236,-100.8443418,41.1506319,-100.8445018,41.150634,-100.8445414,41.1506352,-100.8445653,41.1506372,-100.8447718"
baileyYard,14155780,"41.1488418,-100.818765,41.1496947,-100.8252792,41.1498901,-100.8267714,41.1499345,-100.8270611,41.1499955,-100.8273039,41.150084,-100.8275868,41.1501526,-100.8277665,41.1502334,-100.8279355,41.1503465,-100.8281313,41.150496,-100.8283539,41.1506575,-100.8285524,41.1507626,-100.8286678,41.151481,-100.8292604,41.1516413,-100.8294292,41.1518436,-100.8297115,41.1520274,-100.8300462,41.1521393,-100.8302498,41.1521745,-100.8349807,41.1522581,-100.8305443,41.1523115,-100.8306946,41.1524104,-100.8344777,41.1524612,-100.8311156,41.1525097,-100.8341975,41.1525801,-100.8315943,41.1526147,-100.8337683,41.1526346,-100.8319054,41.1526649,-100.8334933,41.1526814,-100.8322905,41.1527093,-100.8327396,41.1527093,-100.8330695"
baileyYard,14155787,"41.14944,-100.8517333,41.1494497,-100.8520632,41.1494699,-100.8514248,41.1494922,-100.852487,41.1495273,-100.851052,41.149583,-100.8506819,41.1514726,-100.8683882,41.152228,-100.8744709,41.1525556,-100.8770791,41.1527963,-100.8791444,41.1529906,-100.8806904,41.1531824,-100.8820476,41.1532862,-100.8830148,41.1533004,-100.8831838,41.1533206,-100.8834332,41.1533524,-100.8839242,41.1533804,-100.8842513,41.1533884,-100.884338,41.1534001,-100.8844659,41.1534466,-100.8848387,41.1535039,-100.885301"
baileyYard,14155792,"41.1468035,-100.8450938,41.1468226,-100.8452314,41.1468634,-100.8454842,41.1468895,-100.8456178,41.1469558,-100.8458619,41.1470188,-100.8460658,41.1471198,-100.8463099,41.1472705,-100.8466081,41.1476332,-100.8473361,41.1478598,-100.8478945,41.1479475,-100.8481193,41.147998,-100.8482695,41.1483272,-100.8491959,41.1487586,-100.8503949,41.1488735,-100.8507069,41.148923,-100.8508616,41.1490058,-100.8511089,41.1490721,-100.8514195,41.1491936,-100.8523964,41.1491949,-100.8524065,41.1491985,-100.8528088,41.1491998,-100.8529163,41.149205,-100.8533372,41.1492369,-100.8537991,41.1492871,-100.8542255,41.1492886,-100.8542385,41.1493076,-100.8547298,41.1493223,-100.8550482"
baileyYard,14155807,"41.1496275,-100.8179228,41.1496275,-100.8177083,41.1496424,-100.8173944,41.1496477,-100.8181776,41.1497615,-100.8101278,41.1498252,-100.815588,41.1498364,-100.8104263,41.1498775,-100.8106606,41.1499319,-100.8110637,41.1499645,-100.8141399,41.1500757,-100.8128175,41.1500854,-100.8122044,41.1500878,-100.8125415,41.1506272,-100.8255215,41.1506862,-100.825826,41.1507327,-100.8259681,41.1508195,-100.826239,41.1511059,-100.8269807,41.1513211,-100.8276351,41.1516125,-100.8285214"
baileyYard,137138409,"41.1495515,-100.8515992,41.1495523,-100.8513283,41.1495568,-100.8518459,41.1495594,-100.8511782,41.1495855,-100.8521302,41.14997,-100.8551906,41.1508873,-100.8615394,41.1509495,-100.8619428,41.1510267,-100.8623414,41.1511103,-100.8625587,41.1511923,-100.8627437,41.1512582,-100.8628618,41.1513474,-100.8629964,41.1514508,-100.8631289,41.1516269,-100.863307,41.151803,-100.8634465,41.1519262,-100.8635312"
baileyYard,137153734,"41.1528858,-100.863916,41.1529073,-100.8641883,41.1529073,-100.8656018,41.1529073,-100.8661999,41.1529113,-100.86495,41.1529174,-100.8644457,41.1529207,-100.8671211,41.1530054,-100.8691054,41.1530527,-100.8699582,41.1530766,-100.8702458,41.1531112,-100.8705035,41.1531353,-100.8707949"
baileyYard,137154282,"41.1501304,-100.8104527,41.150222,-100.8106023,41.1503565,-100.8108418,41.1507462,-100.8113968,41.152183,-100.8134026,41.1523542,-100.8136682,41.1525281,-100.8139633,41.1526801,-100.8142487,41.1527991,-100.8145085,41.1528994,-100.8147376,41.1530011,-100.8150147,41.1530822,-100.8152687,41.1530945,-100.8542178,41.1531214,-100.8537545,41.1531461,-100.8533293,41.1531678,-100.8529444,41.1531712,-100.8155602,41.1531834,-100.8511275,41.1532397,-100.8157988,41.1533028,-100.8161142,41.1533116,-100.836178,41.1533197,-100.8355775,41.1533218,-100.8353061,41.1533346,-100.8349651,41.1533699,-100.8345568,41.1533713,-100.816548,41.1534412,-100.8170544,41.1536587,-100.8311402,41.1540924,-100.8219719,41.154123,-100.8256392,41.1541297,-100.8223179,41.1541607,-100.8226736,41.1541708,-100.8250677,41.1541785,-100.8230527,41.1541944,-100.8246124,41.1542024,-100.8234641,41.1542042,-100.8242258,41.1542081,-100.8237858"
