id,locId,hrcuId,lrcuId,yardId,systemName,systemType,rclVersion,installDate,hrcuLat,hcruLon,locationFile,simIdle,simDisconnect
rcl7,loc7,hrcu7,lrcu7,oaklandYard,sysA,sysTypeA,1.0,2022-02-02,37.80979432,-122.269047,data/oakland/oakland.csv,false,false
rcl8,loc8,hrcu8,lrcu8,oaklandYard,sysB,sysTypeB,1.0,2022-03-03,37.80979432,-122.269047,data/oakland/oakland.csv,false,false
rcl9,loc9,hrcu9,lrcu9,oaklandYard,sysC,sysTypeC,1.3,2022-03-03,37.80979432,-122.269047,data/oakland/oakland.csv,false,false
rcl10,loc10,hrcu10,lrcu10,oaklandYard,sysA,sysTypeA,1.0,2024-01-18,XXX,YYY,data/oakland/oakland_6337352.csv,false,false
rcl11,loc11,hrcu11,lrcu11,oaklandYard,sysB,sysTypeB,1.0,2024-01-18,XXX,YYY,data/oakland/oakland_34528635.csv,false,false
rcl12,loc12,hrcu12,lrcu12,oaklandYard,sysC,sysTypeC,1.3,2024-01-18,XXX,YYY,data/oakland/oakland_35675172.csv,false,false
rcl13,loc13,hrcu13,lrcu13,oaklandYard,sysA,sysTypeA,1.0,2024-01-18,XXX,YYY,data/oakland/oakland_35675388.csv,false,false
rcl14,loc14,hrcu14,lrcu14,oaklandYard,sysB,sysTypeB,1.0,2024-01-18,XXX,YYY,data/oakland/oakland_293624092.csv,false,false
rcl15,loc15,hrcu15,lrcu15,oaklandYard,sysC,sysTypeC,1.3,2024-01-18,XXX,YYY,data/oakland/oakland_610651498.csv,false,false
rcl16,loc16,hrcu16,lrcu16,oaklandYard,sysA,sysTypeA,1.0,2024-01-18,XXX,YYY,data/oakland/oakland_671694909.csv,false,false
rcl17,loc17,hrcu17,lrcu17,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137138409.csv,false,false
rcl18,loc18,hrcu18,lrcu18,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137153734.csv,false,false
rcl20,loc20,hrcu20,lrcu20,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137154283.csv,false,false
rcl21,loc21,hrcu21,lrcu21,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137154286.csv,false,false
rcl23,loc23,hrcu23,lrcu23,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137154289.csv,false,false
rcl24,loc24,hrcu24,lrcu24,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137154290.csv,false,false
rcl26,loc26,hrcu26,lrcu26,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137154296.csv,false,false
rcl27,loc27,hrcu27,lrcu27,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137161682.csv,false,false
rcl29,loc29,hrcu29,lrcu29,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137161780.csv,false,false
rcl30,loc30,hrcu30,lrcu30,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137166189.csv,false,false
rcl32,loc32,hrcu32,lrcu32,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137166195.csv,false,false
rcl33,loc33,hrcu33,lrcu33,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137166196.csv,false,false
rcl35,loc35,hrcu35,lrcu35,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137166206.csv,false,false
rcl36,loc36,hrcu36,lrcu36,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137166222.csv,false,false
rcl38,loc38,hrcu38,lrcu38,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137167053.csv,false,false
rcl39,loc39,hrcu39,lrcu39,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137167054.csv,false,false
rcl41,loc41,hrcu41,lrcu41,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137167070.csv,false,false
rcl42,loc42,hrcu42,lrcu42,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137177160.csv,false,false
rcl44,loc44,hrcu44,lrcu44,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137177256.csv,false,false
rcl45,loc45,hrcu45,lrcu45,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137177260.csv,false,false
rcl47,loc47,hrcu47,lrcu47,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137177267.csv,false,false
rcl48,loc48,hrcu48,lrcu48,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137177273.csv,false,false
rcl50,loc50,hrcu50,lrcu50,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137178639.csv,false,false
rcl51,loc51,hrcu51,lrcu51,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137181185.csv,false,false
rcl53,loc53,hrcu53,lrcu53,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184747.csv,false,false
rcl54,loc54,hrcu54,lrcu54,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184753.csv,false,false
rcl56,loc56,hrcu56,lrcu56,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184758.csv,false,false
rcl57,loc57,hrcu57,lrcu57,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184760.csv,false,false
rcl59,loc59,hrcu59,lrcu59,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184762.csv,false,false
rcl60,loc60,hrcu60,lrcu60,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184764.csv,false,false
rcl62,loc62,hrcu62,lrcu62,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184771.csv,false,false
rcl63,loc63,hrcu63,lrcu63,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184772.csv,false,false
rcl65,loc65,hrcu65,lrcu65,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184775.csv,false,false
rcl66,loc66,hrcu66,lrcu66,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184777.csv,false,false
rcl68,loc68,hrcu68,lrcu68,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184782.csv,false,false
rcl69,loc69,hrcu69,lrcu69,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184901.csv,false,false
rcl71,loc71,hrcu71,lrcu71,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/137184904.csv,false,false
rcl72,loc72,hrcu72,lrcu72,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155716.csv,false,false
rcl74,loc74,hrcu74,lrcu74,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155763.csv,false,false
rcl75,loc75,hrcu75,lrcu75,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155766.csv,false,false
rcl77,loc77,hrcu77,lrcu77,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155780.csv,false,false
rcl78,loc78,hrcu78,lrcu78,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155787.csv,false,false
rcl80,loc80,hrcu80,lrcu80,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/14155807.csv,false,false
rcl81,loc81,hrcu81,lrcu81,baileyYard,sysC,sysTypeC,1.0,2024-01-23,XXX,YYY,data/baileyyard/221826963.csv,false,false
rcl83,loc83,hrcu83,lrcu83,baileyYard,sysB,sysTypeB,1.0,2024-01-23,XXX,YYY,data/baileyyard/221826968.csv,false,false
