latitude,longitude
34.0666149,-117.389881
34.0666176,-117.3895959
34.0666244,-117.3899942
34.0666354,-117.3894266
34.0666424,-117.3901741
34.0666792,-117.3892171
34.0667684,-117.388942
34.0668466,-117.3887645
34.0670968,-117.3881907
34.0673097,-117.3543336
34.067329,-117.3876559
34.0673587,-117.3545304
34.0673935,-117.3874881
34.0674546,-117.3873077
34.0674939,-117.3871564
34.0675406,-117.3554687
34.0675529,-117.3868961
34.0675741,-117.3867801
34.0675886,-117.3866317
34.0675984,-117.3557906
34.0675985,-117.3864576
34.0676339,-117.3560454
34.0676423,-117.3845517
34.0678971,-117.3734741
34.0678982,-117.3732957
34.0679179,-117.3725957
34.0679205,-117.3724402
34.068063,-117.3602028
34.0681115,-117.3607875
34.0681248,-117.3611409
34.0681338,-117.36156
34.0681405,-117.3619007
34.0681427,-117.3622628
34.0681405,-117.3619007
34.0681338,-117.36156
34.0681248,-117.3611409
34.0681115,-117.3607875
34.068063,-117.3602028
34.0679205,-117.3724402
34.0679179,-117.3725957
34.0678982,-117.3732957
34.0678971,-117.3734741
34.0676423,-117.3845517
34.0676339,-117.3560454
34.0675985,-117.3864576
34.0675984,-117.3557906
34.0675886,-117.3866317
34.0675741,-117.3867801
34.0675529,-117.3868961
34.0675406,-117.3554687
34.0674939,-117.3871564
34.0674546,-117.3873077
34.0673935,-117.3874881
34.0673587,-117.3545304
34.067329,-117.3876559
34.0673097,-117.3543336
34.0670968,-117.3881907
34.0668466,-117.3887645
34.0667684,-117.388942
34.0666792,-117.3892171
34.0666424,-117.3901741
34.0666354,-117.3894266
34.0666244,-117.3899942
34.0666176,-117.3895959
34.0666149,-117.389881
